announced_at_utc,channel_name,symbol,exchange,is_success,pump_date_utc,label,label_numeric,reason_codes,source_repo,source_url,notes
2021-10-12T10:27:50Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-12T11:36:21Z,Binance whales pumps,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-12T16:58:12Z,Binance Moon Pump™,SKL,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-12T17:19:58Z,Binance Moon Pump™,BRD,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-13T14:16:37Z,Binance Moon Pump™,POND,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-13T14:27:55Z,Binance Moon Pump™,GXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-14T15:00:06Z,Big Pumps Binance™,WABI,Binance,1,2021-10-14T15:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-14T20:49:07Z,premium binance signals turkey,IRIS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-15T15:52:07Z,Binance Moon Pump™,PNT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-16T16:20:18Z,Binance Moon Pump™,GXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-16T17:14:02Z,Binance Moon Pump™,IRIS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-16T17:35:16Z,Binance Moon Pump™,WAXP,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-17T07:27:54Z,Binance Moon Pump™,ANT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-17T17:48:26Z,Pumping 🚀 Star 🌟,BEAM,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-19T13:03:42Z,Trading Crypto Coach®,AVAX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-20T16:54:23Z,Binance Pump Tracker™,BRD,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-21T07:41:12Z,Binance Pump Tracker™,RDN,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-21T10:59:08Z,Binance Pump Tracker™,NXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-21T11:24:32Z,Binance Pump Tracker™,EVX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-21T16:00:10Z,Whales Crypto Expert™,POA,Binance,1,2021-10-21T16:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-22T13:28:27Z,Binance Pump Tracker™,AGIX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-23T16:15:53Z,Binance Pump Tracker™,ADX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-23T16:31:21Z,Binance Pump Tracker™,SNT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-24T09:05:48Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-24T14:00:01Z,🐳WHALE BINANCE GROUP PUMP 🐳,FOR,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-24T14:47:20Z,Binance Pump Tracker™,IDEX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-24T17:00:07Z,Crypto Binance Trading | Signals & Pumps,EVX,Binance,1,2021-10-24T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-24T19:15:48Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-26T10:46:42Z,premium binance signals turkey,SC,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-26T15:15:37Z,Binance Pump Tracker™,GRS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-26T17:06:26Z,Binance Pump Tracker™,ARDR,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-27T21:13:53Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-30T05:24:38Z,Binance Pump Tracker™,NXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-30T16:06:14Z,Binance Pump Tracker™,RDN,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-30T17:30:36Z,Whales Crypto Guide,NEBL,Binance,1,2021-10-30T17:31:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-31T09:29:03Z,premium binance signals turkey,DUSK,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-31T15:00:06Z,Big Pumps Binance™,BRD,Binance,1,2021-10-31T15:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-31T17:00:05Z,Crypto Binance Trading | Signals & Pumps,EZ,Binance,1,2021-10-31T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-31T17:06:29Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-01T14:57:08Z,Pro Analysis,CHR,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-02T16:16:13Z,Binance Pump Tracker™,OAX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-03T06:29:40Z,Binance Pump Tracker™,MTH,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-03T16:25:54Z,premium binance signals turkey,FIRO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-04T09:41:41Z,The Bull,BEL,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-04T13:16:08Z,Binance Pump Tracker™,REQ,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-04T13:36:32Z,Binance Pump Tracker™,BRD,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-05T09:46:18Z,Binance Pump Tracker™,QSP,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-05T19:11:33Z,Binance Pump Tracker™,NULS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-06T11:02:21Z,Binance Pump Tracker™,NXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-07T17:00:03Z,Crypto Coin Pump Signals,MTH,Binance,1,2021-11-07T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-07T17:21:49Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-07T18:58:16Z,Binance whales pumps,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-08T14:12:02Z,Binance Pump Tracker™,EPS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-09T03:49:00Z,Crypto VIP Signal™,SUPER,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-09T16:56:11Z,Binance Pump Tracker™,OAX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-11T12:29:23Z,Binance Pump Tracker™,EVX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-12T14:37:03Z,Binance Pump Tracker™,NAS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-12T15:36:26Z,Binance Pump Tracker™,ASR,Binance,1,2021-11-12T15:37:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-12T15:43:46Z,Binance Pump Tracker™,ATM,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-12T16:00:07Z,Whales Crypto Expert™,EVX,Binance,1,2021-11-12T16:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-11-14T15:00:06Z,Pumps Leaks,NAS,Binance,1,2021-11-14T15:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
